# y+ ()       
# Time        	patch         	min           	max           	average       
210           	collector_int	7.223683e+00	5.346301e+02	8.349429e+01
210           	collector_ext	1.633273e-01	9.004055e+01	1.076690e+01
210           	diffuser_int	2.376162e+00	5.583711e+02	5.976331e+01
210           	diffuser_ext	3.201041e-02	9.198440e+01	5.763705e+00
220           	nozzle_int	2.673420e+00	8.970357e+02	5.201006e+01
220           	nozzle_ext	7.791387e-04	1.945783e+01	7.160247e-01
220           	collector_int	7.219113e+00	5.349230e+02	8.347124e+01
220           	collector_ext	2.034910e-01	9.006995e+01	1.077550e+01
220           	diffuser_int	2.429667e+00	5.589561e+02	6.001866e+01
220           	diffuser_ext	4.526227e-02	9.198470e+01	5.677420e+00
230           	nozzle_int	2.680702e+00	8.970302e+02	5.201033e+01
230           	nozzle_ext	2.256217e-03	1.944875e+01	7.169856e-01
230           	collector_int	7.213202e+00	5.349613e+02	8.343264e+01
230           	collector_ext	2.591217e-01	9.008463e+01	1.077336e+01
230           	diffuser_int	2.536098e+00	5.590738e+02	6.019625e+01
230           	diffuser_ext	1.588069e-02	9.201815e+01	5.713995e+00
240           	nozzle_int	2.688965e+00	8.970272e+02	5.201064e+01
240           	nozzle_ext	2.782506e-03	1.944766e+01	7.179075e-01
240           	collector_int	7.206940e+00	5.348728e+02	8.339368e+01
240           	collector_ext	2.326492e-01	9.008402e+01	1.076536e+01
240           	diffuser_int	2.228097e+00	5.590049e+02	6.029472e+01
240           	diffuser_ext	1.376854e-02	9.202419e+01	5.740571e+00
250           	nozzle_int	2.696950e+00	8.970246e+02	5.201095e+01
250           	nozzle_ext	2.308627e-03	1.942613e+01	7.190247e-01
250           	collector_int	7.201374e+00	5.347992e+02	8.336044e+01
250           	collector_ext	2.055541e-01	9.008596e+01	1.076054e+01
250           	diffuser_int	2.152495e+00	5.588632e+02	6.035844e+01
250           	diffuser_ext	2.415600e-02	9.205576e+01	5.696958e+00
260           	nozzle_int	2.706045e+00	8.970284e+02	5.201130e+01
260           	nozzle_ext	1.630357e-03	1.941112e+01	7.203524e-01
260           	collector_int	7.197429e+00	5.347439e+02	8.333810e+01
260           	collector_ext	1.198403e-01	9.007459e+01	1.075766e+01
260           	diffuser_int	2.138660e+00	5.587874e+02	6.038370e+01
260           	diffuser_ext	1.306266e-02	9.205693e+01	5.669411e+00
270           	nozzle_int	2.715171e+00	8.970236e+02	5.201167e+01
270           	nozzle_ext	4.347885e-03	1.940916e+01	7.216498e-01
270           	collector_int	7.195559e+00	5.347150e+02	8.332409e+01
270           	collector_ext	1.069294e-01	9.007187e+01	1.075724e+01
270           	diffuser_int	2.196000e+00	5.586921e+02	6.038928e+01
270           	diffuser_ext	2.611491e-02	9.208735e+01	5.696622e+00
280           	nozzle_int	2.725046e+00	8.970226e+02	5.201205e+01
280           	nozzle_ext	2.585120e-03	1.938675e+01	7.231063e-01
280           	collector_int	7.195162e+00	5.346887e+02	8.331860e+01
280           	collector_ext	1.251182e-01	9.006344e+01	1.075504e+01
280           	diffuser_int	2.301534e+00	5.586590e+02	6.038415e+01
280           	diffuser_ext	3.326736e-02	9.208770e+01	5.712881e+00
290           	nozzle_int	2.735396e+00	8.970285e+02	5.201247e+01
290           	nozzle_ext	7.683719e-04	1.935789e+01	7.246224e-01
290           	collector_int	7.196748e+00	5.347053e+02	8.331755e+01
290           	collector_ext	8.656628e-02	9.006195e+01	1.075357e+01
290           	diffuser_int	2.361886e+00	5.586534e+02	6.037414e+01
290           	diffuser_ext	1.412971e-02	9.209352e+01	5.684822e+00
300           	nozzle_int	2.746164e+00	8.970352e+02	5.201290e+01
300           	nozzle_ext	2.670211e-03	1.932570e+01	7.262735e-01
300           	collector_int	7.199243e+00	5.347431e+02	8.332065e+01
300           	collector_ext	1.020833e-01	9.005827e+01	1.075230e+01
300           	diffuser_int	2.415922e+00	5.586809e+02	6.036445e+01
300           	diffuser_ext	3.476486e-02	9.210276e+01	5.673248e+00
310           	nozzle_int	2.757379e+00	8.970413e+02	5.201334e+01
310           	nozzle_ext	4.393591e-03	1.929126e+01	7.279776e-01
310           	collector_int	7.202345e+00	5.347841e+02	8.332659e+01
310           	collector_ext	1.297570e-01	9.005484e+01	1.075163e+01
310           	diffuser_int	2.432897e+00	5.587288e+02	6.035448e+01
310           	diffuser_ext	1.821727e-02	9.210644e+01	5.695570e+00
320           	nozzle_int	2.768977e+00	8.970480e+02	5.201380e+01
320           	nozzle_ext	3.736872e-03	1.925475e+01	7.297279e-01
320           	collector_int	7.206170e+00	5.348233e+02	8.333330e+01
320           	collector_ext	1.497230e-01	9.005223e+01	1.075109e+01
320           	diffuser_int	2.410195e+00	5.587827e+02	6.034505e+01
320           	diffuser_ext	1.328908e-02	9.210461e+01	5.699115e+00
330           	nozzle_int	2.780943e+00	8.970558e+02	5.201425e+01
330           	nozzle_ext	2.615809e-03	1.921496e+01	7.315791e-01
330           	collector_int	7.210161e+00	5.348728e+02	8.333986e+01
330           	collector_ext	1.744154e-01	9.005160e+01	1.075075e+01
330           	diffuser_int	2.252141e+00	5.588406e+02	6.033852e+01
330           	diffuser_ext	1.768600e-02	9.210552e+01	5.679821e+00
340           	nozzle_int	2.793344e+00	8.970628e+02	5.201471e+01
340           	nozzle_ext	2.153527e-03	1.917444e+01	7.335040e-01
340           	collector_int	7.214180e+00	5.349295e+02	8.334751e+01
340           	collector_ext	1.990831e-01	9.004904e+01	1.075031e+01
340           	diffuser_int	2.127605e+00	5.589110e+02	6.033404e+01
340           	diffuser_ext	2.129384e-02	9.210682e+01	5.675433e+00
350           	nozzle_int	2.806085e+00	8.970705e+02	5.201518e+01
350           	nozzle_ext	1.390248e-03	1.913180e+01	7.355124e-01
350           	collector_int	7.218380e+00	5.349860e+02	8.335563e+01
350           	collector_ext	2.251391e-01	9.004650e+01	1.074988e+01
350           	diffuser_int	2.092237e+00	5.589881e+02	6.032967e+01
350           	diffuser_ext	3.669384e-02	9.210639e+01	5.692496e+00
360           	nozzle_int	2.819240e+00	8.970776e+02	5.201565e+01
360           	nozzle_ext	1.463193e-03	1.908617e+01	7.375611e-01
360           	collector_int	7.222603e+00	5.350370e+02	8.336333e+01
360           	collector_ext	2.482239e-01	9.004532e+01	1.074957e+01
360           	diffuser_int	2.047153e+00	5.590611e+02	6.032644e+01
360           	diffuser_ext	1.273413e-02	9.210465e+01	5.686176e+00
370           	nozzle_int	2.832542e+00	8.970849e+02	5.201611e+01
370           	nozzle_ext	3.941700e-04	1.903951e+01	7.396375e-01
370           	collector_int	7.226583e+00	5.350836e+02	8.337134e+01
370           	collector_ext	2.685455e-01	9.004398e+01	1.074921e+01
370           	diffuser_int	1.929722e+00	5.591265e+02	6.032511e+01
370           	diffuser_ext	1.457879e-02	9.210385e+01	5.671922e+00
380           	nozzle_int	2.846224e+00	8.970932e+02	5.201662e+01
380           	nozzle_ext	1.179358e-03	1.899079e+01	7.418333e-01
380           	collector_int	7.230441e+00	5.351203e+02	8.337987e+01
380           	collector_ext	1.183527e-01	9.004126e+01	1.074860e+01
380           	diffuser_int	1.848310e+00	5.591802e+02	6.032428e+01
380           	diffuser_ext	1.417477e-02	9.210328e+01	5.671523e+00
390           	nozzle_int	2.860288e+00	8.971015e+02	5.201711e+01
390           	nozzle_ext	6.207955e-04	1.893984e+01	7.440886e-01
390           	collector_int	7.234186e+00	5.351489e+02	8.338890e+01
390           	collector_ext	2.276811e-01	9.003877e+01	1.074845e+01
390           	diffuser_int	1.835598e+00	5.592211e+02	6.032325e+01
390           	diffuser_ext	1.137740e-02	9.210110e+01	5.684189e+00
400           	nozzle_int	2.874707e+00	8.971083e+02	5.201758e+01
400           	nozzle_ext	1.968315e-03	1.888747e+01	7.463882e-01
400           	collector_int	7.237823e+00	5.351757e+02	8.339806e+01
400           	collector_ext	1.157436e-01	9.003733e+01	1.074845e+01
400           	diffuser_int	1.808143e+00	5.592553e+02	6.032320e+01
400           	diffuser_ext	1.729473e-02	9.209848e+01	5.673687e+00
410           	nozzle_int	2.889463e+00	8.971152e+02	5.201812e+01
410           	nozzle_ext	1.265850e-03	1.883407e+01	7.487420e-01
410           	collector_int	7.241459e+00	5.352011e+02	8.340662e+01
410           	collector_ext	1.940673e-01	9.003526e+01	1.074844e+01
410           	diffuser_int	1.740302e+00	5.592865e+02	6.032413e+01
410           	diffuser_ext	2.041557e-02	9.209640e+01	5.663967e+00
420           	nozzle_int	2.904603e+00	8.971230e+02	5.201868e+01
420           	nozzle_ext	2.945124e-03	1.877741e+01	7.511564e-01
420           	collector_int	7.244907e+00	5.352244e+02	8.341498e+01
420           	collector_ext	2.884484e-01	9.003253e+01	1.074845e+01
420           	diffuser_int	1.705101e+00	5.593165e+02	6.032508e+01
420           	diffuser_ext	2.920139e-03	9.209382e+01	5.668182e+00
430           	nozzle_int	2.920164e+00	8.971300e+02	5.201924e+01
430           	nozzle_ext	8.937133e-04	1.871894e+01	7.536259e-01
430           	collector_int	7.248138e+00	5.352427e+02	8.342364e+01
430           	collector_ext	2.739545e-01	9.003018e+01	1.074847e+01
