,X,Y,Z,alpha,beta,p_static,velocity
56,0.0,0.0,-320.0,-2.0786087416142043,-0.4840382302610219,99163.84471622198,29.16927428315207
57,0.0,0.0,-300.0,-2.0252465209430097,-0.9592452998432777,99166.90215550808,29.601114310701167
58,0.0,0.0,300.0,-1.5580046246042678,-0.7873068056817983,99158.33608018763,30.066251400386935
59,0.0,0.0,320.0,-1.342999431631576,-0.8016077979883642,99154.7558266283,29.79853260479613
60,0.0,0.0,340.0,-1.0220139949025584,-0.7675521475548491,99150.15035764447,29.157633181767974
61,0.0,0.0,360.0,-0.5038347701765554,-0.829853873936617,99139.34416029711,27.461953776243654
62,0.0,0.0,380.0,0.1738670416176875,-0.7674523959279593,99136.7179315935,25.039573059085274
63,0.0,-630.0,0.0,-2.613621653197332,-3.1189447369169714,99125.72779279527,22.510738431199616
64,0.0,-610.0,0.0,-2.586942842619127,-2.1229938978449674,99137.5912857014,25.5702981409061
65,0.0,-590.0,0.0,-2.5694965304304356,-1.517302179816272,99147.38982698407,28.04639292708504
66,0.0,-570.0,0.0,-2.669535987620259,-0.9258520824075995,99158.92967165871,29.410835472517615
67,0.0,-550.0,0.0,-2.579965871393168,-0.7589370518486965,99164.61259445813,29.895887312835505
68,0.0,550.0,0.0,-2.458707459972617,-0.34659664185072236,99176.66101672473,29.84639075849636
69,0.0,570.0,0.0,-2.2611202634587033,-0.11495794626070775,99171.35853476028,29.73803396738046
70,0.0,590.0,0.0,-2.229347572246039,0.1497934261630365,99158.56715152158,29.108511342945597
71,0.0,610.0,0.0,-2.257938068616573,0.6906842410032499,99151.319852755,27.353074203507575
72,0.0,630.0,0.0,-2.024069295462632,1.8272596541718178,99143.0697222412,24.78081673549936
73,600.0,-500.0,-300.0,-3.5481227317842,-0.7411966270876074,99173.06662292131,29.381870808229852
74,600.0,0.0,-300.0,-2.783762960073281,-0.7188242858720519,99186.7419026122,28.78204078779995
75,600.0,500.0,-300.0,-4.510872763735557,-0.2612091155474372,99166.56640954735,29.036306167397388
76,600.0,500.0,0.0,-2.500642478911848,-0.4593087632535796,99193.4935569867,29.003489098465245
77,600.0,0.0,0.0,-2.097841735520083,-0.9548224391476356,99200.55372859139,29.08411131273905
78,600.0,-500.0,0.0,-2.47708714315657,-0.6109933027578621,99181.39935547019,28.536126317798157
79,600.0,-500.0,300.0,-1.139102139914653,-1.4289150188041373,99167.32839577163,29.335887608959826
80,600.0,0.0,300.0,-1.0709725213200223,-0.7245142848206088,99178.05253575655,28.79336943881357
81,600.0,500.0,300.0,-1.2923253368893037,-0.09748889909334285,99161.25807398092,28.369132787588384
82,600.0,0.0,-380.0,-4.435978836012631,-0.5120479058568719,99173.45833199086,24.030892608323416
83,600.0,0.0,-360.0,-4.0855632324193145,-0.11098421255998851,99184.51347522435,25.699124917249897
84,600.0,0.0,-340.0,-3.539347645708286,-0.30522451284490876,99194.63985483556,26.840474293588848
85,600.0,0.0,-320.0,-3.062444326342559,-0.46987528011430246,99199.32701631628,27.94734558603381
86,600.0,0.0,-300.0,-2.7402296020046317,-0.7859038226343886,99204.43647943698,28.766315094564558
87,600.0,0.0,-280.0,-2.584134246445114,-0.9658007758593768,99204.71447148868,29.248123077341916
88,600.0,0.0,-260.0,-2.468650888629415,-0.9947636740176664,99206.59162617645,29.24799735854941
89,600.0,0.0,260.0,-1.316309951950807,-0.8359632921760094,99195.99178495779,29.60164801532948
90,600.0,0.0,280.0,-1.2456490289325692,-0.718003095915539,99193.9912060434,29.364661006259198
91,600.0,0.0,300.0,-1.0959341593064882,-0.641376336540876,99194.71180962237,28.768014002766435
92,600.0,0.0,320.0,-0.9147569128630371,-0.6610425305518377,99189.26548036271,27.881942655805386
93,600.0,0.0,340.0,-0.3471869438537698,-0.4523167930006412,99183.17404227948,27.006464601565085
94,600.0,0.0,360.0,-0.0742368070309103,-0.4813161524331758,99175.24088279154,25.57492915663664
95,600.0,0.0,380.0,0.3771186799356316,-0.35257737197257694,99170.07920741766,23.973123222118236
96,600.0,-630.0,0.0,-3.0775208302007107,-3.4167946336306674,99155.4146396999,22.084986567638367
97,600.0,-610.0,0.0,-2.9634292152455486,-2.522164027155464,99158.21491009949,23.518984865429356
98,600.0,-590.0,0.0,-2.825861356579879,-1.9056253251176098,99166.87160056354,25.163206931149674
99,600.0,-570.0,0.0,-2.853869725026452,-1.397980339927418,99177.19599675402,26.609108934142434
100,600.0,-550.0,0.0,-2.6842097625080354,-1.1949845898618126,99186.57613201826,28.07562433647254
101,600.0,-530.0,0.0,-2.691802335350956,-0.888015269453995,99193.98323161222,28.843360189388417
102,600.0,-510.0,0.0,-2.703380797636212,-0.7328081651359455,99200.4155146949,29.268395905734554
103,600.0,510.0,0.0,-2.5217396821190974,-0.25165831509948544,99207.24662949172,29.659692255336083
104,600.0,530.0,0.0,-2.522558938882532,-0.15829128573243456,99200.22811247222,29.51299895483387
105,600.0,550.0,0.0,-2.5981671235382318,0.1395981323986547,99200.47953135714,29.18755067330716
106,600.0,570.0,0.0,-2.5679134672233115,0.44981106439908597,99195.8566144656,28.350495898703116
107,600.0,590.0,0.0,-2.5940968060030585,0.6321638752405494,99189.84370863464,27.176247015516164
108,600.0,610.0,0.0,-2.487823444374003,1.3442523265149962,99180.20346807211,25.957582797368637
109,600.0,630.0,0.0,-2.5750071958248366,1.7900933847324958,99176.61133370752,24.123532588839332
