"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.095072,0,0.07467,-0.0086449,1,0.812,-2.4,0,-1.188
0.095392,0,0.07473,-0.0086668,1,0.816,-2.4,0,-1.184
0.095711,-7.6037e-36,0.07479,-0.0086887,1,0.82,-2.4,0,-1.18
0.09603,-1.5244e-35,0.07485,-0.0087107,1,0.824,-2.4,0,-1.176
0.096349,1.528e-35,0.074911,-0.0087326,1,0.828,-2.4,0,-1.172
0.096668,0,0.074971,-0.0087545,1,0.832,-2.4,0,-1.168
0.096987,1.8411e-20,0.075031,-0.0087764,1,0.836,-2.4,0,-1.164
0.097307,-2.5841e-20,0.075091,-0.0087983,1,0.84,-2.4,0,-1.16
0.097626,-8.3443e-20,0.075151,-0.0088203,1,0.844,-2.4,0,-1.156
0.097945,-3.0924e-35,0.075211,-0.0088422,1,0.848,-2.4,0,-1.152
0.098264,-6.1993e-35,0.075271,-0.0088641,1,0.852,-2.4,0,-1.148
0.098583,6.2138e-35,0.075331,-0.008886,1,0.856,-2.4,0,-1.144
0.098903,-6.2283e-35,0.075391,-0.0089079,1,0.86,-2.4,0,-1.14
0.099222,0,0.075451,-0.0089298,1,0.864,-2.4,0,-1.136
0.099541,0,0.075511,-0.0089518,1,0.868,-2.4,0,-1.132
0.09986,2.5088e-34,0.075571,-0.0089737,1,0.872,-2.4,0,-1.128
0.10018,-1.2573e-34,0.075631,-0.0089956,1,0.876,-2.4,0,-1.124
0.1005,-2.5204e-34,0.075691,-0.0090175,1,0.88,-2.4,0,-1.12
0.10082,0,0.075751,-0.0090394,1,0.884,-2.4,0,-1.116
0.10114,-5.0641e-34,0.075811,-0.0090614,1,0.888,-2.4,0,-1.112
0.10145,0,0.07587,-0.009083,1,0.892,-2.4,0,-1.108
0.10173,0,0.075927,-0.0091042,1,0.896,-2.4,0,-1.104
0.102,0,0.075985,-0.0091255,1,0.9,-2.4,0,-1.1
0.10228,0,0.076044,-0.0091469,1,0.904,-2.4,0,-1.096
0.10255,0,0.076103,-0.0091683,1,0.908,-2.4,0,-1.092
0.10282,0,0.076162,-0.0091897,1,0.912,-2.4,0,-1.088
