"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.7793,0,0.26524,0.042272,1,0.41,0.6,0,-0.59
3.8647,0,0.25441,0.059902,1,0.412,0.6,0,-0.588
3.9502,0,0.24357,0.077532,1,0.414,0.6,0,-0.586
4.0357,0,0.23274,0.095162,1,0.416,0.6,0,-0.584
4.1211,0,0.22191,0.11279,1,0.418,0.6,0,-0.582
4.2066,0,0.21107,0.13042,1,0.42,0.6,0,-0.58
4.292,0,0.20024,0.14806,1,0.422,0.6,0,-0.578
4.3928,0,0.1889,0.17048,1,0.424,0.6,0,-0.576
4.4961,0,0.17748,0.19371,1,0.426,0.6,0,-0.574
4.5995,0,0.16605,0.21693,1,0.428,0.6,0,-0.572
4.7028,0,0.15463,0.24016,1,0.43,0.6,0,-0.57
4.8061,0,0.14321,0.26338,1,0.432,0.6,0,-0.568
4.9094,0,0.13178,0.28661,1,0.434,0.6,0,-0.566
5.0128,0,0.12036,0.30983,1,0.436,0.6,0,-0.564
5.1161,0,0.10894,0.33306,1,0.438,0.6,0,-0.562
5.2194,0,0.097513,0.35629,1,0.44,0.6,0,-0.56
5.3227,0,0.08609,0.37951,1,0.442,0.6,0,-0.558
5.4261,0,0.074666,0.40274,1,0.444,0.6,0,-0.556
5.5444,0,0.063017,0.43079,1,0.446,0.6,0,-0.554
5.6676,0,0.051294,0.46041,1,0.448,0.6,0,-0.552
5.7909,0,0.039572,0.49004,1,0.45,0.6,0,-0.55
5.9141,0,0.027849,0.51966,1,0.452,0.6,0,-0.548
6.0373,0,0.016126,0.54928,1,0.454,0.6,0,-0.546
6.1606,0,0.0044035,0.57891,1,0.456,0.6,0,-0.544
6.2838,0,-0.0073194,0.60853,1,0.458,0.6,0,-0.542
6.407,0,-0.019042,0.63815,1,0.46,0.6,0,-0.54
6.5302,0,-0.030765,0.66778,1,0.462,0.6,0,-0.538
6.6535,0,-0.042487,0.6974,1,0.464,0.6,0,-0.536
6.7767,0,-0.05421,0.72703,1,0.466,0.6,0,-0.534
6.9142,0,-0.065879,0.76121,1,0.468,0.6,0,-0.532
7.0593,0,-0.07752,0.79783,1,0.47,0.6,0,-0.53
7.2044,0,-0.08916,0.83445,1,0.472,0.6,0,-0.528
7.3495,0,-0.1008,0.87107,1,0.474,0.6,0,-0.526
7.4946,0,-0.11244,0.90769,1,0.476,0.6,0,-0.524
7.6397,0,-0.12408,0.94431,1,0.478,0.6,0,-0.522
7.7848,0,-0.13572,0.98093,1,0.48,0.6,0,-0.52
7.9299,0,-0.14736,1.0176,1,0.482,0.6,0,-0.518
8.075,0,-0.159,1.0542,1,0.484,0.6,0,-0.516
8.2201,0,-0.17064,1.0908,1,0.486,0.6,0,-0.514
8.3652,0,-0.18228,1.1274,1,0.488,0.6,0,-0.512
8.5231,0,-0.19361,1.168,1,0.49,0.6,0,-0.51
8.6918,0,-0.20468,1.2119,1,0.492,0.6,0,-0.508
8.8604,0,-0.21575,1.2558,1,0.494,0.6,0,-0.506
9.0291,0,-0.22682,1.2997,1,0.496,0.6,0,-0.504
9.1977,0,-0.23789,1.3436,1,0.498,0.6,0,-0.502
9.3664,0,-0.24896,1.3875,1,0.5,0.6,0,-0.5
9.535,0,-0.26003,1.4314,1,0.502,0.6,0,-0.498
9.7037,0,-0.2711,1.4753,1,0.504,0.6,0,-0.496
9.8723,0,-0.28217,1.5192,1,0.506,0.6,0,-0.494
10.041,0,-0.29324,1.5631,1,0.508,0.6,0,-0.492
10.21,0,-0.30431,1.607,1,0.51,0.6,0,-0.49
10.389,0,-0.31486,1.6541,1,0.512,0.6,0,-0.488
10.582,0,-0.32476,1.7051,1,0.514,0.6,0,-0.486
10.776,0,-0.33466,1.756,1,0.516,0.6,0,-0.484
10.969,0,-0.34456,1.807,1,0.518,0.6,0,-0.482
11.162,0,-0.35446,1.858,1,0.52,0.6,0,-0.48
11.356,0,-0.36436,1.909,1,0.522,0.6,0,-0.478
11.549,0,-0.37426,1.96,1,0.524,0.6,0,-0.476
11.742,0,-0.38416,2.0109,1,0.526,0.6,0,-0.474
11.935,0,-0.39406,2.0619,1,0.528,0.6,0,-0.472
12.129,0,-0.40396,2.1129,1,0.53,0.6,0,-0.47
12.322,0,-0.41386,2.1639,1,0.532,0.6,0,-0.468
12.524,0,-0.42313,2.217,1,0.534,0.6,0,-0.466
12.741,0,-0.43116,2.2743,1,0.536,0.6,0,-0.464
12.959,0,-0.43919,2.3317,1,0.538,0.6,0,-0.462
13.177,0,-0.44721,2.389,1,0.54,0.6,0,-0.46
13.395,0,-0.45524,2.4463,1,0.542,0.6,0,-0.458
13.613,0,-0.46327,2.5036,1,0.544,0.6,0,-0.456
13.831,0,-0.47129,2.5609,1,0.546,0.6,0,-0.454
14.049,0,-0.47932,2.6182,1,0.548,0.6,0,-0.452
14.267,0,-0.48735,2.6756,1,0.55,0.6,0,-0.45
14.485,0,-0.49537,2.7329,1,0.552,0.6,0,-0.448
14.703,0,-0.5034,2.7902,1,0.554,0.6,0,-0.446
14.926,0,-0.51082,2.8486,1,0.556,0.6,0,-0.444
15.166,0,-0.5162,2.9107,1,0.558,0.6,0,-0.442
15.407,0,-0.52159,2.9729,1,0.56,0.6,0,-0.44
15.648,0,-0.52698,3.035,1,0.562,0.6,0,-0.438
15.888,0,-0.53237,3.0971,1,0.564,0.6,0,-0.436
16.129,0,-0.53776,3.1592,1,0.566,0.6,0,-0.434
16.37,0,-0.54315,3.2213,1,0.568,0.6,0,-0.432
