"U:0","U:1","U:2","p","vtkValidPointMask","arc_length"
14.003,0,-3.4698e-05,365.75,1,1.608
14.13,0,-3.4928e-05,363.97,1,1.616
14.257,0,-3.5149e-05,362.17,1,1.624
14.388,0,-3.534e-05,360.29,1,1.632
14.518,0,-3.5527e-05,358.41,1,1.64
14.65,0,-3.572e-05,356.49,1,1.648
14.784,0,-3.5922e-05,354.52,1,1.656
14.917,0,-3.612e-05,352.54,1,1.664
15.053,0,-3.6326e-05,350.49,1,1.672
15.191,0,-3.6534e-05,348.42,1,1.68
15.328,0,-3.6737e-05,346.34,1,1.688
15.468,0,-3.6889e-05,344.16,1,1.696
15.609,0,-3.7029e-05,341.98,1,1.704
15.75,0,-3.7165e-05,339.78,1,1.712
15.893,0,-3.7307e-05,337.49,1,1.72
16.037,0,-3.7447e-05,335.2,1,1.728
16.182,0,-3.7571e-05,332.87,1,1.736
16.329,0,-3.7665e-05,330.47,1,1.744
16.476,0,-3.7755e-05,328.07,1,1.752
16.624,0,-3.7829e-05,325.61,1,1.76
16.774,0,-3.7889e-05,323.1,1,1.768
16.924,0,-3.7945e-05,320.59,1,1.776
17.076,0,-3.7984e-05,317.99,1,1.784
17.229,0,-3.8015e-05,315.37,1,1.792
17.381,0,-3.8042e-05,312.75,1,1.8
17.537,0,-3.8054e-05,310.02,1,1.808
17.692,0,-3.8062e-05,307.29,1,1.816
17.847,0,-3.8062e-05,304.54,1,1.824
18.005,0,-3.8045e-05,301.7,1,1.832
18.162,0,-3.8025e-05,298.86,1,1.84
18.32,0,-3.7997e-05,295.98,1,1.848
18.48,0,-3.7959e-05,293.03,1,1.856
18.639,0,-3.7918e-05,290.09,1,1.864
18.799,0,-3.7867e-05,287.08,1,1.872
18.96,0,-3.7808e-05,284.03,1,1.88
19.121,0,-3.7747e-05,280.99,1,1.888
19.283,0,-3.7681e-05,277.86,1,1.896
19.445,0,-3.7614e-05,274.71,1,1.904
19.608,0,-3.7548e-05,271.56,1,1.912
19.771,0,-3.7511e-05,268.33,1,1.92
19.934,0,-3.7474e-05,265.1,1,1.928
20.097,0,-3.7455e-05,261.84,1,1.936
20.26,0,-3.748e-05,258.52,1,1.944
20.424,0,-3.7504e-05,255.21,1,1.952
20.587,0,-3.7546e-05,251.85,1,1.96
