,X,Y,Z,alpha,beta,p_static,velocity
27,-800.0,0.0,-340.0,-0.4677173200671184,0.5486413817372375,99143.54933241602,29.791247267852228
28,-800.0,0.0,-320.0,-0.9285416297505961,-0.3562157599285479,99141.88160442766,29.90597060433207
29,-800.0,0.0,320.0,-0.9496961706778453,-0.6636702300283956,99131.25043292926,30.521697847922212
30,-800.0,0.0,340.0,-1.093226452189227,-0.6573499883988749,99133.90441582409,30.529721903915785
31,-800.0,0.0,360.0,-1.2812681581666356,-0.5923679834818658,99128.0952298614,30.521750018284706
32,-800.0,0.0,380.0,-0.7721871464348852,-0.556929876227792,99124.4055134755,30.489300094032256
33,-800.0,0.0,400.0,3.663997101155546,-0.3802985894354969,99130.88429708887,17.911017539302666
34,-800.0,-650.0,0.0,-2.5415300035633965,-6.845267958293825,99135.75533108563,18.349782494608153
35,-800.0,-630.0,0.0,-2.263288650486395,-1.5878974262136345,99131.52857485245,30.200530402159146
36,-800.0,-610.0,0.0,-2.4553032070595235,-1.2493545024618014,99141.46686483527,30.163711244374067
37,-800.0,-590.0,0.0,-2.357792706206322,-0.889155198319877,99140.37024652919,30.313478267244697
38,-800.0,-570.0,0.0,-2.5534389574499317,-0.8103377626916461,99144.33826575654,30.20645697422697
39,-800.0,570.0,0.0,-2.1686708281374947,-0.19942120145073491,99143.7479147238,30.227606061312613
40,-800.0,590.0,0.0,-1.9174548685438915,-0.12918567927056576,99142.68108824805,30.33332790443756
41,-800.0,610.0,0.0,-1.7894061643004768,0.17653942047745827,99142.77290142936,30.05518270761865
42,-800.0,630.0,0.0,-1.689856890351615,1.6406351645455888,99136.62424387984,28.717774860589145
43,-800.0,650.0,0.0,-1.6315424234562663,7.407755639601535,99138.29999965578,13.496397758907461
44,0.0,-500.0,-300.0,-2.7842744500452845,-0.36082567595642495,99148.42555286687,29.950630065133673
45,0.0,0.0,-300.0,-1.8422343694086727,-1.0486319644989688,99147.7977466785,29.79159056058494
46,0.0,500.0,-300.0,-2.8127560097735183,-0.6015633604918738,99150.21233438839,29.882592661571977
47,0.0,500.0,0.0,-2.452821474176068,-0.6110490191739455,99151.60311302848,29.97636835505025
48,0.0,0.0,0.0,-1.6671115646726224,-0.9210641094160392,99148.51447471252,29.984547346460165
49,0.0,-500.0,0.0,-2.3935463272651,-0.6090985939350844,99149.48654693947,30.05990417452536
50,0.0,-500.0,300.0,-1.4837426337014743,-0.8861993485385824,99137.19687945468,30.31470067586528
51,0.0,0.0,300.0,-1.4391558068717245,-0.7986979620332212,99143.0461830151,30.181920160657473
52,0.0,500.0,300.0,-2.0699452158628664,-0.3621638651143532,99137.84042948834,30.148489190651603
53,0.0,0.0,-380.0,-3.9724704373454474,-0.10824793615627001,99138.30940831985,23.40479531070104
54,0.0,0.0,-360.0,-3.378403660536557,0.14252233035350828,99145.08754350372,26.05097417934987
55,0.0,0.0,-340.0,-2.6201384423471743,-0.010910247134149408,99146.26022291517,28.217396657930195
56,0.0,0.0,-320.0,-2.099728795846997,-0.5531420278285295,99151.8067686089,29.393032349808365
57,0.0,0.0,-300.0,-2.050636204066632,-1.0397840895235426,99154.74960503381,29.793449047028425
58,0.0,0.0,300.0,-1.5607736595280217,-0.8434970422300846,99144.83671934497,30.3228499183592
59,0.0,0.0,320.0,-1.3366169423681178,-0.8493379773735737,99141.18094280043,30.072542459425932
60,0.0,0.0,340.0,-1.0010470473868136,-0.8010935031108487,99136.71536711398,29.458807671364703
61,0.0,0.0,360.0,-0.46108766146764624,-0.8442221909255089,99126.98558005369,27.785837619201494
62,0.0,0.0,380.0,0.2449556737295373,-0.7532818511472754,99126.08840539504,25.379286250852825
63,0.0,-630.0,0.0,-2.678661087032552,-3.2945470340284206,99120.9011773168,22.509962261301258
64,0.0,-610.0,0.0,-2.6509643092105546,-2.257917510245121,99130.39527959985,25.60150505763707
65,0.0,-590.0,0.0,-2.6250809774834836,-1.6357361416613796,99137.97479888941,28.132100914944107
66,0.0,-570.0,0.0,-2.72185427361484,-1.0324084569093495,99148.20227652785,29.54082736197207
67,0.0,-550.0,0.0,-2.626387282965539,-0.8570781521111476,99153.18892061347,30.051360809475096
68,0.0,550.0,0.0,-2.4945881911388725,-0.4278579990247045,99164.73915753108,30.048677944041362
69,0.0,570.0,0.0,-2.2852112055689617,-0.18099963995125445,99159.01068940594,29.978743895543037
70,0.0,590.0,0.0,-2.249859705512256,0.09231719756590107,99146.72378581199,29.351933403120952
71,0.0,610.0,0.0,-2.277509615229535,0.64594057486771,99141.2643902173,27.563185894704063
72,0.0,630.0,0.0,-2.026706648526611,1.8238145201352587,99135.44033832676,24.95913077335775
73,600.0,-500.0,-300.0,-3.635145061132262,-0.8800225571231421,99164.35929365236,29.437945904843303
74,600.0,0.0,-300.0,-2.8383650265592215,-0.8244738342987373,99176.55431269325,28.914981985834626
75,600.0,500.0,-300.0,-4.633388110759153,-0.4291666606033147,99160.52279284087,29.031871892413893
76,600.0,500.0,0.0,-2.5398147791348054,-0.5455998151143188,99182.38172743868,29.18673790278794
77,600.0,0.0,0.0,-2.126271782820649,-1.038257009243939,99188.94943268651,29.26640454638041
78,600.0,-500.0,0.0,-2.5172035622694966,-0.7006090469156107,99170.6872875252,28.706476243481067
79,600.0,-500.0,300.0,-1.133640162193857,-1.4865366130894382,99154.44652486689,29.571856229525455
80,600.0,0.0,300.0,-1.0514719973849214,-0.7587752523395749,99164.98082220553,29.089795051229416
81,600.0,500.0,300.0,-1.2727958096508678,-0.12192448920355191,99148.54020856357,28.691167007280484
82,600.0,0.0,-380.0,-4.557508199690941,-0.6831543608140694,99169.26565613401,24.016792771782892
83,600.0,0.0,-360.0,-4.188897141971505,-0.25632022817844696,99178.71187525385,25.74491823091209
84,600.0,0.0,-340.0,-3.6213988507077834,-0.4319197989574574,99187.10918286696,26.925467252097473
85,600.0,0.0,-320.0,-3.1259602813298186,-0.5805016903787951,99190.15519109933,28.0693025602341
86,600.0,0.0,-300.0,-2.793805790932925,-0.8915712411631554,99194.215266871,28.897987202123915
87,600.0,0.0,-280.0,-2.633350379954174,-1.0698725391072166,99193.95538610009,29.382561358280537
88,600.0,0.0,-260.0,-2.513360923109552,-1.094798583581516,99195.61538696593,29.39147238912558
89,600.0,0.0,260.0,-1.3092901625305384,-0.8836066873953174,99182.58318037217,29.87350503156755
90,600.0,0.0,280.0,-1.2337186774558688,-0.7592491738273985,99180.6167877359,29.650964837119588
91,600.0,0.0,300.0,-1.0762143449188664,-0.6741725689513356,99181.64151872044,29.06868711777478
92,600.0,0.0,320.0,-0.8873509931671113,-0.6869992580591231,99176.80376832018,28.187989611183212
93,600.0,0.0,340.0,-0.2909823425731213,-0.4487897717608852,99170.92269806775,27.367300006165404
94,600.0,0.0,360.0,-0.00628126395968624,-0.46769662425396225,99164.11946462987,25.936142234527253
95,600.0,0.0,380.0,0.4617191881806717,-0.3184257209179159,99160.16584275347,24.32566229670669
96,600.0,-630.0,0.0,-3.1499849259040773,-3.6330320284596724,99151.44217574882,22.071357100571223
97,600.0,-610.0,0.0,-3.038414958120736,-2.6922399392198044,99152.87799005136,23.518012912358184
98,600.0,-590.0,0.0,-2.8966533238321786,-2.0446936757574226,99160.0737028611,25.18958977228117
99,600.0,-570.0,0.0,-2.9196300153868044,-1.524998822533519,99169.13433645011,26.673839082942315
100,600.0,-550.0,0.0,-2.740487108927676,-1.3095123565264375,99177.05583570298,28.176645944509403
101,600.0,-530.0,0.0,-2.7445904303650206,-0.9944644926025646,99183.68253469364,28.97176801655288
102,600.0,-510.0,0.0,-2.7547342454159454,-0.8354394588982792,99189.71304374513,29.41046715463357
103,600.0,510.0,0.0,-2.559141888218411,-0.33287333096364896,99195.55687128632,29.86226491888709
104,600.0,530.0,0.0,-2.5587836096257046,-0.23683170324821137,99188.6120735196,29.72219469079678
105,600.0,550.0,0.0,-2.6352401484989487,0.06587777964313309,99189.29415201118,29.395450113941518
106,600.0,570.0,0.0,-2.602599021243205,0.38522866053143817,99185.44456604673,28.545873441955624
107,600.0,590.0,0.0,-2.629338652119485,0.5710904593806305,99180.44871420614,27.3556964045277
108,600.0,610.0,0.0,-2.515289933105799,1.306627979646571,99172.02287027762,26.11784251515871
109,600.0,630.0,0.0,-2.604595498781217,1.7605831279785908,99170.0480281032,24.253024300241627
