# y+ ()       
# Time        	patch         	min           	max           	average       
270           	nozzle_ext	5.677017e+00	2.869379e+02	1.855746e+01
270           	collector_int	1.463345e+01	5.084864e+02	1.825382e+02
270           	collector_ext	3.824890e+00	5.826084e+02	9.518954e+01
270           	diffuser_int	1.080985e+01	4.089512e+02	1.057658e+02
270           	diffuser_ext	1.272723e+01	1.444789e+03	1.273537e+02
280           	nozzle_int	6.034314e-01	1.946450e+02	3.554024e+01
280           	nozzle_ext	5.733111e+00	2.874618e+02	1.877349e+01
280           	collector_int	1.431808e+01	5.072491e+02	1.831370e+02
280           	collector_ext	4.251555e+00	5.833466e+02	9.440765e+01
280           	diffuser_int	1.101160e+01	4.087261e+02	1.069806e+02
280           	diffuser_ext	1.246486e+01	1.439174e+03	1.267096e+02
290           	nozzle_int	6.034370e-01	1.941387e+02	3.553416e+01
290           	nozzle_ext	5.786591e+00	2.880067e+02	1.897033e+01
290           	collector_int	1.398697e+01	5.061514e+02	1.834574e+02
290           	collector_ext	4.487321e+00	5.840683e+02	9.368469e+01
290           	diffuser_int	1.133066e+01	4.080135e+02	1.080558e+02
290           	diffuser_ext	1.251870e+01	1.435955e+03	1.261097e+02
300           	nozzle_int	6.034330e-01	1.936828e+02	3.553091e+01
300           	nozzle_ext	5.837685e+00	2.885739e+02	1.914819e+01
300           	collector_int	1.364251e+01	5.052479e+02	1.835441e+02
300           	collector_ext	5.007685e+00	5.852436e+02	9.298560e+01
300           	diffuser_int	1.153461e+01	4.073812e+02	1.090194e+02
300           	diffuser_ext	1.244310e+01	1.435581e+03	1.254481e+02
310           	nozzle_int	6.034339e-01	1.932996e+02	3.552920e+01
310           	nozzle_ext	5.885427e+00	2.891079e+02	1.930904e+01
310           	collector_int	1.329609e+01	5.043906e+02	1.834569e+02
310           	collector_ext	5.725722e+00	5.868575e+02	9.228567e+01
310           	diffuser_int	1.163400e+01	4.067775e+02	1.098917e+02
310           	diffuser_ext	1.250976e+01	1.435653e+03	1.246768e+02
320           	nozzle_int	6.034336e-01	1.929940e+02	3.552804e+01
320           	nozzle_ext	5.928947e+00	2.895463e+02	1.945520e+01
320           	collector_int	1.294011e+01	5.035200e+02	1.832415e+02
320           	collector_ext	6.322524e+00	5.888769e+02	9.157775e+01
320           	diffuser_int	1.150437e+01	4.061122e+02	1.106712e+02
320           	diffuser_ext	1.279217e+01	1.435665e+03	1.238845e+02
330           	nozzle_int	6.034338e-01	1.927595e+02	3.552680e+01
330           	nozzle_ext	5.969626e+00	2.898455e+02	1.958648e+01
330           	collector_int	1.259031e+01	5.027574e+02	1.829341e+02
330           	collector_ext	6.650023e+00	5.902071e+02	9.086833e+01
330           	diffuser_int	1.159833e+01	4.056887e+02	1.113525e+02
330           	diffuser_ext	1.327593e+01	1.435702e+03	1.231284e+02
340           	nozzle_int	6.034339e-01	1.925837e+02	3.552514e+01
340           	nozzle_ext	6.009053e+00	2.900078e+02	1.970620e+01
340           	collector_int	1.226232e+01	5.021334e+02	1.825724e+02
340           	collector_ext	6.629497e+00	5.907247e+02	9.016774e+01
340           	diffuser_int	1.154158e+01	4.055858e+02	1.119468e+02
340           	diffuser_ext	1.385242e+01	1.435635e+03	1.224700e+02
350           	nozzle_int	6.034339e-01	1.924540e+02	3.552308e+01
350           	nozzle_ext	6.047458e+00	2.900732e+02	1.981303e+01
350           	collector_int	1.197255e+01	5.015880e+02	1.821890e+02
350           	collector_ext	6.825157e+00	5.906198e+02	8.947782e+01
350           	diffuser_int	1.123753e+01	4.053771e+02	1.124783e+02
350           	diffuser_ext	1.386253e+01	1.435224e+03	1.219249e+02
360           	nozzle_int	6.034339e-01	1.923604e+02	3.552062e+01
360           	nozzle_ext	6.084560e+00	2.900890e+02	1.990775e+01
360           	collector_int	1.173934e+01	5.010904e+02	1.818072e+02
360           	collector_ext	7.392738e+00	5.900003e+02	8.880151e+01
360           	diffuser_int	1.121081e+01	4.050322e+02	1.129620e+02
360           	diffuser_ext	1.378394e+01	1.434554e+03	1.215013e+02
370           	nozzle_int	6.034339e-01	1.922946e+02	3.551773e+01
370           	nozzle_ext	6.120164e+00	2.900972e+02	1.999239e+01
370           	collector_int	1.151317e+01	5.006493e+02	1.814429e+02
370           	collector_ext	7.432761e+00	5.889645e+02	8.815802e+01
370           	diffuser_int	1.118664e+01	4.046250e+02	1.133971e+02
370           	diffuser_ext	1.376434e+01	1.433796e+03	1.211873e+02
380           	nozzle_int	6.034339e-01	1.922494e+02	3.551454e+01
380           	nozzle_ext	6.154328e+00	2.901209e+02	2.006676e+01
380           	collector_int	1.230444e+01	5.002771e+02	1.811094e+02
380           	collector_ext	7.469902e+00	5.876242e+02	8.756036e+01
380           	diffuser_int	1.108502e+01	4.042183e+02	1.137769e+02
380           	diffuser_ext	1.379459e+01	1.433015e+03	1.209485e+02
390           	nozzle_int	6.034339e-01	1.922192e+02	3.551114e+01
390           	nozzle_ext	6.186586e+00	2.901770e+02	2.013439e+01
390           	collector_int	1.147656e+01	4.999878e+02	1.808132e+02
390           	collector_ext	7.367182e+00	5.861351e+02	8.701565e+01
390           	diffuser_int	1.171181e+01	4.038181e+02	1.140951e+02
390           	diffuser_ext	1.384801e+01	1.432176e+03	1.207448e+02
400           	nozzle_int	6.034339e-01	1.922000e+02	3.550746e+01
400           	nozzle_ext	6.212745e+00	2.902744e+02	2.019440e+01
400           	collector_int	1.199880e+01	4.997854e+02	1.805578e+02
400           	collector_ext	7.197882e+00	5.846380e+02	8.652592e+01
400           	diffuser_int	1.171854e+01	4.034242e+02	1.143490e+02
400           	diffuser_ext	1.390676e+01	1.431270e+03	1.205582e+02
410           	nozzle_int	6.034339e-01	1.921886e+02	3.550367e+01
410           	nozzle_ext	6.239883e+00	2.904106e+02	2.024752e+01
410           	collector_int	1.152901e+01	4.996782e+02	1.803446e+02
410           	collector_ext	7.010617e+00	5.832454e+02	8.609005e+01
410           	diffuser_int	1.172326e+01	4.030455e+02	1.145404e+02
410           	diffuser_ext	1.394519e+01	1.430328e+03	1.203835e+02
420           	nozzle_int	6.034339e-01	1.921823e+02	3.549971e+01
420           	nozzle_ext	6.266294e+00	2.905762e+02	2.029299e+01
420           	collector_int	1.143262e+01	4.996775e+02	1.801727e+02
420           	collector_ext	7.292667e+00	5.820129e+02	8.569563e+01
420           	diffuser_int	1.171958e+01	4.026947e+02	1.146737e+02
420           	diffuser_ext	1.396283e+01	1.429394e+03	1.202182e+02
430           	nozzle_int	6.034339e-01	1.921794e+02	3.549571e+01
430           	nozzle_ext	6.290699e+00	2.907645e+02	2.033308e+01
430           	collector_int	1.143714e+01	4.997789e+02	1.800392e+02
430           	collector_ext	7.409476e+00	5.809562e+02	8.532993e+01
430           	diffuser_int	1.153231e+01	4.023824e+02	1.147559e+02
430           	diffuser_ext	1.397855e+01	1.428483e+03	1.200611e+02
440           	nozzle_int	6.034339e-01	1.921783e+02	3.549167e+01
440           	nozzle_ext	6.313497e+00	2.909693e+02	2.036737e+01
440           	collector_int	1.135482e+01	4.999668e+02	1.799408e+02
440           	collector_ext	6.972755e+00	5.800649e+02	8.499877e+01
440           	diffuser_int	1.116524e+01	4.021081e+02	1.147945e+02
440           	diffuser_ext	1.400339e+01	1.427609e+03	1.199064e+02
450           	nozzle_int	6.034339e-01	1.921782e+02	3.548759e+01
450           	nozzle_ext	6.334722e+00	2.911855e+02	2.039678e+01
450           	collector_int	1.128341e+01	5.002200e+02	1.798745e+02
450           	collector_ext	6.418015e+00	5.793373e+02	8.466988e+01
450           	diffuser_int	1.148275e+01	4.018708e+02	1.147970e+02
450           	diffuser_ext	1.404130e+01	1.426780e+03	1.197465e+02
460           	nozzle_int	6.034339e-01	1.921784e+02	3.548352e+01
460           	nozzle_ext	6.354439e+00	2.914073e+02	2.042146e+01
460           	collector_int	1.122560e+01	5.005118e+02	1.798360e+02
460           	collector_ext	5.988346e+00	5.787600e+02	8.437805e+01
460           	diffuser_int	1.165640e+01	4.016692e+02	1.147712e+02
460           	diffuser_ext	1.408914e+01	1.426000e+03	1.195774e+02
470           	nozzle_int	6.034339e-01	1.921786e+02	3.547951e+01
470           	nozzle_ext	6.372828e+00	2.916325e+02	2.044218e+01
470           	collector_int	1.159721e+01	5.008227e+02	1.798206e+02
470           	collector_ext	5.387738e+00	5.783136e+02	8.412251e+01
470           	diffuser_int	1.107442e+01	4.015020e+02	1.147239e+02
470           	diffuser_ext	1.413668e+01	1.425289e+03	1.193990e+02
480           	nozzle_int	6.034339e-01	1.921789e+02	3.547557e+01
480           	nozzle_ext	6.389908e+00	2.918559e+02	2.045989e+01
480           	collector_int	1.154782e+01	5.011496e+02	1.798241e+02
480           	collector_ext	5.003113e+00	5.779588e+02	8.389524e+01
480           	diffuser_int	1.138716e+01	4.013743e+02	1.146627e+02
480           	diffuser_ext	1.418202e+01	1.424664e+03	1.192139e+02
490           	nozzle_int	6.034339e-01	1.921790e+02	3.547176e+01
490           	nozzle_ext	6.405746e+00	2.920751e+02	2.047354e+01
490           	collector_int	1.128329e+01	5.014893e+02	1.798427e+02
490           	collector_ext	4.918960e+00	5.776712e+02	8.369294e+01
490           	diffuser_int	1.156347e+01	4.012888e+02	1.145929e+02
490           	diffuser_ext	1.422655e+01	1.424118e+03	1.190269e+02
500           	nozzle_int	6.034339e-01	1.921791e+02	3.546800e+01
500           	nozzle_ext	6.420416e+00	2.922879e+02	2.048476e+01
500           	collector_int	1.147640e+01	5.018351e+02	1.798726e+02
500           	collector_ext	4.818725e+00	5.774311e+02	8.350157e+01
500           	diffuser_int	1.099167e+01	4.012437e+02	1.145187e+02
500           	diffuser_ext	1.421327e+01	1.423634e+03	1.188412e+02
510           	nozzle_int	6.034339e-01	1.921792e+02	3.546428e+01
510           	nozzle_ext	6.434010e+00	2.924930e+02	2.049348e+01
510           	collector_int	1.165296e+01	5.021789e+02	1.799113e+02
510           	collector_ext	4.847834e+00	5.772277e+02	8.332029e+01
510           	diffuser_int	1.098039e+01	4.012290e+02	1.144445e+02
510           	diffuser_ext	1.419542e+01	1.423181e+03	1.186609e+02
520           	nozzle_int	6.034339e-01	1.921792e+02	3.546069e+01
520           	nozzle_ext	6.446587e+00	2.926889e+02	2.049965e+01
520           	collector_int	1.119543e+01	5.025156e+02	1.799567e+02
520           	collector_ext	4.905597e+00	5.770544e+02	8.315311e+01
520           	diffuser_int	1.151632e+01	4.012314e+02	1.143733e+02
520           	diffuser_ext	1.421653e+01	1.422737e+03	1.184906e+02
530           	nozzle_int	6.034339e-01	1.921792e+02	3.545724e+01
530           	nozzle_ext	6.458201e+00	2.928745e+02	2.050397e+01
530           	collector_int	1.139756e+01	5.028442e+02	1.800059e+02
530           	collector_ext	5.006934e+00	5.769031e+02	8.300546e+01
530           	diffuser_int	1.100446e+01	4.012451e+02	1.143074e+02
530           	diffuser_ext	1.426428e+01	1.422305e+03	1.183329e+02
540           	nozzle_int	6.034339e-01	1.921792e+02	3.545389e+01
540           	nozzle_ext	6.468907e+00	2.930495e+02	2.050670e+01
540           	collector_int	1.157708e+01	5.031644e+02	1.800576e+02
540           	collector_ext	5.082221e+00	5.767689e+02	8.287890e+01
540           	diffuser_int	1.148890e+01	4.012716e+02	1.142483e+02
540           	diffuser_ext	1.424401e+01	1.421883e+03	1.181897e+02
550           	nozzle_int	6.034339e-01	1.921792e+02	3.545038e+01
550           	nozzle_ext	6.479179e+00	2.932193e+02	2.050764e+01
550           	collector_int	1.115485e+01	5.034858e+02	1.801133e+02
550           	collector_ext	5.135323e+00	5.766477e+02	8.276241e+01
550           	diffuser_int	1.098385e+01	4.012984e+02	1.141950e+02
550           	diffuser_ext	1.402059e+01	1.421441e+03	1.180553e+02
560           	nozzle_int	6.034339e-01	1.921791e+02	3.544719e+01
560           	nozzle_ext	6.488845e+00	2.933841e+02	2.050768e+01
560           	collector_int	1.136464e+01	5.037906e+02	1.801695e+02
560           	collector_ext	5.171586e+00	5.765336e+02	8.265991e+01
560           	diffuser_int	1.147226e+01	4.013202e+02	1.141488e+02
560           	diffuser_ext	1.387651e+01	1.420999e+03	1.179383e+02
570           	nozzle_int	6.034339e-01	1.921791e+02	3.544452e+01
570           	nozzle_ext	6.497819e+00	2.935404e+02	2.050649e+01
570           	collector_int	1.154795e+01	5.040805e+02	1.802248e+02
570           	collector_ext	5.197890e+00	5.764229e+02	8.256917e+01
570           	diffuser_int	1.097228e+01	4.013387e+02	1.141109e+02
570           	diffuser_ext	1.371669e+01	1.420568e+03	1.178398e+02
580           	nozzle_int	6.034339e-01	1.921791e+02	3.544250e+01
580           	nozzle_ext	6.506055e+00	2.936876e+02	2.050426e+01
